ticker,name,sector,industry,exchange
MSCI,MSCI Inc,Financials,,NYSE
VRSK,Verisk Analytics,Industrials,,NYSE
PRU,Prudential Financial,Financials,,NYSE
AFL,Aflac Incorporated,Financials,,NYSE
ALL,Allstate Corporation,Financials,,NYSE
FAST,Fastenal Company,Industrials,,NYSE
XEL,Xcel Energy,Utilities,,NYSE
CPRT,Copart Inc,Industrials,,NYSE
CTSH,Cognizant Technology,Technology,,NASDAQ
VICI,VICI Properties,Real Estate,,NYSE
GWW,W.W. Grainger,Industrials,,NYSE
AWK,American Water Works,Utilities,,NYSE
KR,Kroger Company,Consumer Staples,,NYSE
ILMN,Illumina Inc,Health Care,,NYSE
CBRE,CBRE Group,Real Estate,,NYSE
ZBH,Zimmer Biomet,Health Care,,NYSE
KEYS,Keysight Technologies,Technology,,NASDAQ
MTD,Mettler-Toledo,Health Care,,NYSE
WAT,Waters Corporation,Health Care,,NYSE
HAL,Halliburton Company,Energy,,NYSE
BKR,Baker Hughes,Energy,,NYSE
DVN,Devon Energy,Energy,,NYSE
FANG,Diamondback Energy,Energy,,NYSE
MPC,Marathon Petroleum,Energy,,NYSE
VLO,Valero Energy,Energy,,NYSE
PSX,Phillips 66,Energy,,NYSE
WMB,Williams Companies,Energy,,NYSE
KMI,Kinder Morgan,Energy,,NYSE
OKE,ONEOK Inc,Energy,,NYSE
SPY,SPDR S&P 500 ETF,Benchmark,,NYSE
QQQ,Invesco QQQ Trust,Benchmark,,NYSE
IWM,iShares Russell 2000,Benchmark,,NYSE
XLK,Technology Select Sector SPDR,Sector ETF,,NYSE
XLF,Financial Select Sector SPDR,Sector ETF,,NYSE
XLE,Energy Select Sector SPDR,Sector ETF,,NYSE
XLV,Health Care Select Sector SPDR,Sector ETF,,NYSE
XLI,Industrial Select Sector SPDR,Sector ETF,,NYSE
XLY,Consumer Discretionary Select Sector SPDR,Sector ETF,,NYSE
XLP,Consumer Staples Select Sector SPDR,Sector ETF,,NYSE
XLRE,Real Estate Select Sector SPDR,Sector ETF,,NYSE
XLB,Materials Select Sector SPDR,Sector ETF,,NYSE
XLU,Utilities Select Sector SPDR,Sector ETF,,NYSE
XLC,Communication Services Select Sector SPDR,Sector ETF,,NYSE
